iter	Passed	Remaining
0	147	147042
1	148	74094
2	149	49662
3	150	37406
4	151	30063
5	151	25168
6	152	21666
7	153	19046
8	154	17011
9	155	15383
10	156	14060
11	157	12957
12	158	12028
13	159	11236
14	160	10556
15	161	9958
16	164	9496
17	165	9031
18	166	8609
19	167	8227
20	169	7886
21	170	7577
22	171	7294
23	173	7036
24	174	6819
25	176	6601
26	177	6400
27	179	6213
28	180	6041
29	181	5880
30	183	5731
31	184	5586
32	186	5456
33	187	5328
34	188	5210
35	190	5096
36	191	4992
37	193	4892
38	194	4801
39	196	4712
40	197	4630
41	199	4551
42	201	4482
43	203	4411
44	204	4341
45	206	4273
46	207	4209
47	209	4154
48	211	4097
49	212	4041
50	214	3987
51	215	3937
52	217	3891
53	219	3844
54	221	3800
55	222	3757
56	224	3718
57	226	3677
58	228	3643
59	230	3607
60	231	3569
61	233	3533
62	235	3496
63	236	3465
64	238	3433
65	240	3404
66	242	3374
67	244	3346
68	245	3318
69	247	3289
70	249	3261
71	250	3234
72	252	3207
73	254	3181
74	256	3157
75	257	3133
76	259	3108
77	260	3084
78	262	3061
79	264	3042
80	266	3022
81	268	3007
82	269	2979
83	271	2960
84	273	2939
85	274	2919
86	276	2898
87	277	2878
88	279	2858
89	281	2841
90	282	2822
91	284	2804
92	285	2787
93	287	2771
94	289	2754
95	290	2737
96	292	2720
97	293	2704
98	295	2687
99	296	2672
100	298	2658
101	300	2644
102	301	2629
103	303	2615
104	305	2601
105	306	2586
106	308	2573
107	309	2559
108	311	2546
109	313	2535
110	314	2522
111	316	2509
112	318	2497
113	319	2484
114	321	2472
115	322	2459
116	324	2445
117	325	2434
118	327	2423
119	329	2413
120	330	2401
121	331	2388
122	333	2377
123	335	2367
124	336	2356
125	338	2346
126	339	2334
127	341	2324
128	343	2317
129	344	2307
130	346	2296
131	347	2287
132	349	2276
133	350	2267
134	352	2258
135	353	2248
136	355	2240
137	357	2232
138	359	2224
139	360	2215
140	362	2207
141	363	2195
142	364	2186
143	366	2178
144	367	2169
145	369	2161
146	371	2157
147	373	2150
148	375	2143
149	376	2135
150	378	2128
151	380	2121
152	381	2114
153	383	2108
154	386	2104
155	388	2103
156	390	2095
157	391	2088
158	393	2081
159	395	2074
160	396	2064
161	397	2057
162	399	2050
163	401	2044
164	402	2038
165	404	2032
166	406	2025
167	407	2018
168	409	2011
169	410	2005
170	412	1999
171	414	1993
172	415	1987
173	417	1981
174	419	1975
175	420	1969
176	422	1963
177	423	1956
178	425	1950
179	427	1946
180	429	1941
181	430	1936
182	432	1931
183	434	1925
184	435	1919
185	437	1913
186	438	1907
187	440	1902
188	442	1896
189	443	1891
190	445	1886
191	446	1881
192	448	1875
193	449	1869
194	451	1864
195	453	1858
196	455	1855
197	457	1851
198	459	1848
199	461	1845
200	463	1842
201	464	1836
202	466	1831
203	468	1828
204	470	1825
205	472	1821
206	474	1816
207	475	1812
208	477	1807
209	479	1802
210	480	1797
211	482	1793
212	484	1789
213	485	1784
214	487	1779
215	489	1775
216	490	1770
217	492	1765
218	493	1761
219	495	1757
220	497	1753
221	498	1748
222	500	1743
223	502	1739
224	503	1734
225	505	1731
226	507	1726
227	508	1722
228	510	1718
229	512	1714
230	513	1709
231	515	1705
232	516	1700
233	518	1696
234	520	1693
235	521	1689
236	523	1686
237	525	1682
238	527	1678
239	528	1674
240	530	1670
241	532	1667
242	533	1662
243	535	1659
244	537	1656
245	539	1652
246	540	1648
247	542	1645
248	544	1641
249	546	1638
250	547	1634
251	549	1630
252	551	1627
253	552	1623
254	554	1620
255	556	1616
256	557	1613
257	559	1609
258	561	1605
259	563	1603
260	565	1600
261	567	1597
262	569	1594
263	570	1591
264	572	1587
265	575	1586
266	576	1583
267	578	1579
268	580	1577
269	582	1575
270	584	1572
271	586	1568
272	588	1565
273	590	1565
274	592	1561
275	594	1558
276	595	1555
277	598	1553
278	599	1549
279	601	1546
280	603	1543
281	604	1539
282	606	1536
283	608	1533
284	610	1531
285	612	1528
286	613	1524
287	615	1522
288	617	1518
289	619	1516
290	620	1513
291	622	1509
292	624	1506
293	626	1503
294	628	1501
295	629	1497
296	631	1494
297	633	1491
298	634	1488
299	636	1484
300	638	1482
301	639	1478
302	641	1475
303	643	1472
304	644	1469
305	646	1466
