iter	Passed	Remaining
0	147	146910
1	148	73969
2	149	49634
3	150	37437
4	151	30143
5	152	25276
6	153	21808
7	154	19207
8	156	17200
9	157	15584
10	158	14265
11	159	13167
12	161	12250
13	162	11465
14	164	10778
15	165	10175
16	166	9642
17	168	9170
18	169	8750
19	170	8374
20	172	8032
21	173	7731
22	175	7455
23	177	7201
24	178	6966
25	180	6750
26	181	6547
27	183	6357
28	184	6180
29	186	6020
30	187	5868
31	189	5726
32	190	5593
33	192	5470
34	194	5352
35	195	5241
36	197	5136
37	199	5038
38	200	4945
39	202	4855
40	203	4770
41	205	4689
42	207	4612
43	208	4538
44	210	4465
45	212	4399
46	213	4333
47	215	4271
48	217	4211
49	218	4153
50	220	4098
51	221	4043
52	223	3990
53	225	3942
54	226	3894
55	228	3848
56	229	3803
57	231	3758
58	232	3714
59	234	3672
60	235	3631
61	237	3591
62	238	3554
63	240	3518
64	242	3481
65	243	3446
66	245	3413
67	246	3380
68	248	3348
69	249	3317
70	251	3287
71	252	3258
72	254	3230
73	256	3203
74	257	3176
75	259	3149
76	260	3122
77	261	3096
78	263	3071
79	265	3047
80	266	3023
81	268	3001
82	268	2971
83	270	2949
84	272	2928
85	273	2907
86	275	2886
87	276	2866
88	278	2847
89	279	2829
90	281	2812
91	283	2793
92	284	2775
93	286	2757
94	287	2739
95	289	2721
96	290	2704
97	291	2687
98	293	2670
99	295	2655
100	296	2639
101	298	2624
102	299	2609
103	301	2593
104	302	2578
105	304	2565
106	305	2550
107	307	2536
108	308	2523
109	310	2510
110	311	2497
111	313	2485
112	315	2473
113	316	2461
114	318	2449
115	319	2437
116	321	2422
117	322	2411
118	324	2400
119	325	2389
120	327	2378
121	328	2365
122	330	2355
123	331	2344
124	333	2334
125	335	2326
126	336	2315
127	338	2306
128	340	2296
129	341	2286
130	343	2276
131	344	2265
132	346	2255
133	347	2246
134	349	2237
135	350	2228
136	352	2219
137	353	2210
138	355	2201
139	356	2192
140	358	2183
141	359	2171
142	360	2162
143	362	2154
144	364	2147
145	365	2139
146	367	2131
147	368	2124
148	370	2116
149	372	2109
150	373	2101
151	375	2094
152	377	2087
153	378	2080
154	380	2074
155	382	2068
156	384	2062
157	385	2056
158	387	2050
159	389	2044
160	390	2035
161	392	2030
162	394	2024
163	396	2019
164	398	2015
165	400	2010
166	402	2005
167	403	2000
168	406	1997
169	408	1994
170	410	1988
171	411	1982
172	414	1979
173	415	1974
174	417	1968
175	419	1963
176	421	1958
177	423	1953
178	424	1948
179	426	1942
180	428	1937
181	429	1931
182	431	1926
183	433	1921
184	435	1916
185	436	1910
186	438	1905
187	440	1901
188	442	1897
189	444	1893
190	445	1888
191	447	1884
192	449	1880
193	452	1881
194	454	1877
195	456	1872
196	458	1868
197	460	1863
198	461	1858
199	463	1854
200	465	1849
201	467	1845
202	469	1842
203	470	1837
204	472	1832
205	474	1830
206	477	1828
207	480	1830
208	483	1828
209	485	1824
210	486	1820
211	489	1819
212	491	1814
213	493	1811
214	495	1807
215	497	1807
216	500	1804
217	502	1801
218	504	1799
219	506	1795
220	508	1790
221	509	1786
222	511	1782
223	513	1778
224	515	1774
225	517	1770
226	518	1767
227	520	1762
228	522	1758
229	523	1753
230	525	1749
231	527	1745
232	529	1741
233	530	1737
234	532	1734
235	534	1730
236	536	1727
237	538	1723
238	539	1719
239	541	1715
240	543	1711
241	545	1708
242	546	1703
243	548	1699
244	550	1695
245	551	1691
246	553	1686
247	555	1683
248	556	1679
249	558	1675
250	560	1672
251	562	1668
252	563	1664
253	565	1661
254	567	1657
255	569	1654
256	571	1653
257	573	1650
258	576	1648
259	578	1645
260	579	1642
261	581	1638
262	583	1636
263	585	1633
264	587	1630
265	589	1626
266	591	1623
267	592	1619
268	595	1617
269	598	1618
270	600	1615
271	602	1611
272	604	1609
273	606	1606
274	608	1604
275	610	1601
276	612	1597
277	614	1594
278	616	1592
279	618	1590
280	620	1587
281	622	1585
282	624	1582
283	626	1579
284	628	1576
285	630	1573
286	632	1570
287	634	1567
288	635	1564
289	637	1561
290	639	1557
291	641	1556
292	643	1553
293	645	1549
294	647	1546
295	649	1544
296	651	1541
297	653	1538
298	654	1535
299	656	1532
300	658	1530
301	660	1527
302	662	1524
303	665	1523
304	668	1523
305	670	1521
306	672	1518
307	674	1515
308	676	1512
309	678	1509
310	679	1506
311	681	1503
312	684	1501
313	686	1499
314	689	1499
315	692	1499
316	695	1497
317	697	1495
318	699	1492
319	701	1491
320	703	1488
321	705	1485
322	707	1482
323	709	1480
324	711	1477
325	713	1475
326	716	1474
327	718	1472
328	720	1469
329	722	1467
330	724	1464
331	726	1461
332	728	1458
333	730	1456
334	732	1453
335	734	1451
336	736	1449
337	738	1447
338	740	1444
339	742	1441
340	744	1438
341	746	1436
342	748	1433
343	750	1430
344	752	1428
345	754	1425
346	756	1422
347	757	1420
348	759	1416
349	761	1414
350	763	1411
351	765	1408
352	766	1405
353	768	1402
354	770	1399
355	772	1396
356	773	1394
357	775	1391
358	777	1388
359	779	1385
360	781	1382
361	782	1379
362	785	1377
363	786	1374
364	788	1372
365	790	1369
366	792	1366
367	794	1364
368	796	1361
369	797	1358
370	799	1355
371	801	1352
372	803	1350
373	805	1347
374	806	1344
375	808	1341
376	810	1338
377	811	1335
378	813	1332
379	815	1329
380	816	1326
381	818	1324
382	820	1321
383	821	1318
384	823	1315
385	825	1312
386	826	1309
387	828	1306
388	830	1303
389	831	1301
390	833	1298
391	835	1295
392	836	1292
393	838	1289
394	840	1286
395	841	1283
396	843	1280
397	844	1278
398	846	1275
399	848	1272
400	849	1269
401	851	1266
402	853	1264
403	855	1261
404	857	1259
405	858	1256
406	860	1253
407	861	1250
408	863	1247
409	865	1245
410	866	1242
411	868	1239
412	870	1237
413	872	1234
414	873	1231
415	875	1228
416	877	1226
417	878	1223
418	880	1220
419	882	1218
420	883	1215
421	885	1212
422	887	1210
423	889	1207
424	890	1205
425	892	1202
426	894	1200
427	896	1197
428	898	1195
429	899	1192
430	901	1190
431	903	1187
432	905	1185
433	906	1182
434	908	1180
435	910	1178
436	912	1175
437	915	1174
438	917	1172
439	918	1169
440	920	1167
441	922	1164
442	924	1161
443	925	1159
444	927	1157
445	929	1154
446	931	1152
447	933	1149
448	934	1147
449	936	1144
450	938	1142
451	940	1139
452	941	1137
453	943	1134
454	945	1131
455	946	1129
456	948	1127
457	950	1124
458	952	1122
459	953	1119
460	955	1117
461	957	1114
462	958	1111
463	960	1109
464	962	1106
465	963	1104
466	965	1101
467	966	1098
468	968	1096
469	969	1093
470	971	1091
471	973	1088
472	974	1085
473	976	1083
474	977	1080
475	979	1078
476	981	1076
477	983	1074
478	985	1071
479	986	1068
480	988	1066
481	989	1063
482	991	1061
483	993	1058
484	994	1056
485	996	1053
486	998	1051
487	999	1048
488	1001	1046
489	1003	1044
490	1005	1042
491	1006	1039
492	1008	1037
493	1010	1034
494	1012	1032
495	1013	1029
496	1015	1027
497	1016	1025
498	1018	1022
499	1020	1020
500	1022	1017
501	1023	1015
502	1025	1013
503	1027	1010
504	1028	1008
505	1030	1005
506	1031	1003
507	1033	1000
508	1035	998
509	1037	996
510	1038	994
511	1040	991
512	1042	989
513	1043	986
514	1045	984
515	1047	982
516	1048	979
517	1050	977
518	1052	974
519	1053	972
520	1055	970
521	1056	967
522	1058	965
523	1060	963
524	1062	960
525	1063	958
526	1065	956
527	1067	954
528	1068	951
529	1070	949
530	1072	947
531	1073	944
532	1075	942
533	1077	940
534	1079	937
535	1080	935
536	1083	933
537	1084	931
538	1086	929
539	1088	927
540	1090	925
541	1092	923
542	1094	920
543	1095	918
544	1097	916
545	1099	914
546	1101	911
547	1102	909
548	1104	907
549	1106	905
550	1108	903
551	1110	901
552	1112	899
553	1114	897
554	1116	895
555	1118	893
556	1120	891
557	1123	889
558	1124	887
559	1127	885
560	1128	883
561	1130	881
562	1132	878
563	1134	876
564	1135	874
565	1137	872
566	1139	870
567	1141	868
568	1143	865
569	1145	863
570	1147	861
571	1149	860
572	1151	858
573	1153	856
574	1155	854
575	1157	852
576	1159	850
577	1161	848
578	1163	845
579	1165	843
580	1166	841
581	1168	839
582	1170	837
583	1172	835
584	1174	833
585	1176	831
586	1177	828
587	1179	826
588	1181	824
589	1183	822
590	1186	820
591	1188	818
592	1189	816
593	1192	815
594	1194	813
595	1196	811
596	1200	810
597	1203	808
598	1206	807
599	1209	806
600	1211	804
601	1213	802
602	1214	799
603	1216	797
604	1218	795
605	1220	793
606	1222	791
607	1224	789
608	1226	787
609	1228	785
610	1229	782
611	1231	780
612	1233	778
613	1235	776
614	1237	774
615	1239	772
616	1240	770
617	1242	768
618	1244	766
619	1246	763
620	1248	761
621	1249	759
622	1251	757
623	1253	755
624	1255	753
625	1257	751
626	1258	748
627	1260	746
628	1262	744
629	1264	742
630	1265	740
631	1268	738
632	1270	736
633	1272	734
634	1274	732
635	1276	730
636	1278	728
637	1280	726
638	1282	724
639	1283	722
640	1285	720
641	1287	717
642	1289	715
643	1291	713
644	1293	711
645	1294	709
646	1296	707
647	1299	705
648	1301	703
649	1303	701
650	1304	699
651	1306	697
652	1307	695
653	1309	692
654	1311	690
655	1313	688
656	1315	686
657	1316	684
658	1318	682
659	1320	680
660	1321	677
661	1323	675
662	1325	673
663	1327	671
664	1329	669
665	1331	667
666	1332	665
667	1334	663
668	1336	661
669	1338	659
670	1339	656
671	1341	654
672	1343	652
673	1344	650
674	1346	648
675	1348	646
676	1350	644
677	1351	642
678	1354	640
679	1356	638
680	1358	636
681	1359	634
682	1361	631
683	1363	629
684	1364	627
685	1366	625
686	1367	623
687	1369	621
688	1371	618
689	1372	616
690	1374	614
691	1376	612
692	1377	610
693	1380	608
694	1382	606
695	1384	604
696	1386	602
697	1388	600
698	1389	598
699	1391	596
700	1393	594
701	1394	592
702	1396	590
703	1398	587
704	1399	585
705	1401	583
706	1403	581
707	1404	579
708	1406	577
709	1408	575
710	1410	573
711	1411	571
712	1413	568
713	1415	566
714	1416	564
715	1418	562
716	1420	560
717	1421	558
718	1423	556
719	1425	554
720	1426	552
721	1428	549
722	1429	547
723	1431	545
724	1433	543
725	1435	541
726	1436	539
727	1438	537
728	1440	535
729	1442	533
730	1443	531
731	1445	529
732	1447	527
733	1448	524
734	1450	522
735	1452	520
736	1453	518
737	1455	516
738	1457	514
739	1458	512
740	1460	510
741	1462	508
742	1463	506
743	1465	504
744	1467	502
745	1469	500
746	1471	498
747	1472	496
748	1474	494
749	1476	492
750	1478	490
751	1480	488
752	1482	486
753	1484	484
754	1486	482
755	1488	480
756	1489	478
757	1491	476
758	1493	474
759	1495	472
760	1497	470
761	1498	468
762	1500	466
763	1502	464
764	1504	462
765	1506	460
766	1508	458
767	1509	456
768	1511	454
769	1513	451
770	1514	449
771	1516	447
772	1518	445
773	1520	443
774	1522	441
775	1523	439
776	1525	437
777	1527	435
778	1528	433
779	1530	431
780	1532	429
781	1534	427
782	1535	425
783	1537	423
784	1539	421
785	1540	419
786	1542	417
787	1544	415
788	1546	413
789	1547	411
790	1549	409
791	1551	407
792	1552	405
793	1554	403
794	1556	401
795	1558	399
796	1560	397
797	1561	395
798	1563	393
799	1565	391
800	1567	389
801	1569	387
802	1570	385
803	1572	383
804	1574	381
805	1576	379
806	1578	377
807	1580	375
808	1581	373
809	1583	371
810	1585	369
811	1587	367
812	1588	365
813	1590	363
814	1592	361
815	1594	359
816	1596	357
817	1597	355
818	1599	353
819	1601	351
820	1603	349
821	1604	347
822	1607	345
823	1609	343
824	1610	341
825	1612	339
826	1614	337
827	1616	335
828	1618	333
829	1620	331
830	1621	329
831	1623	327
832	1626	325
833	1628	324
834	1630	322
835	1632	320
836	1634	318
837	1636	316
838	1637	314
